,fiscal_year,revenue_category_name,fund_category_name,fund_number,sub_fund,sub_fund_name,fund_name,revenue_class_name,cabinet_name,department_code,department_name,revenue_source,revenue_source_name,revenue_collected,fiscal_period,apd_nm,trans_no,fiscal_period_month,fund_number_fund_name,department_code_department,revenue_source_revenue_source
1652,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3501,REIMB-BOARD OF INMATES,16564.83,5,November,201901001004SDH,05 (November),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),REIMB-BOARD OF INMATES (3501)
1669,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,16000.77,9,March,201901001007SDF,09 (March),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
1676,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5212,FED-INMATE REIMBURSEMENT,12320.0,12,June,201901001003HSD,12 (June),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FED-INMATE REIMBURSEMENT (5212)
1693,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,961.05,9,March,201901001004HSD,09 (March),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
1709,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,5212,FED-INMATE REIMBURSEMENT,106576.35,2,August,201901001003SDN,02 (August),General Fund (0010),SHERIFF DEPARTMENT NORFOLK (SDN),FED-INMATE REIMBURSEMENT (5212)
1718,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,1527.63,6,December,201901001007SDW,06 (December),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
1720,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5212,FED-INMATE REIMBURSEMENT,10912.0,13,Adjustment 1,201901001003HSD,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FED-INMATE REIMBURSEMENT (5212)
1741,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,6900,MISC,447002.18,5,November,201901001007BSD,05 (November),General Fund (0010),SHERIFF DEPARTMENT BRISTOL (BSD),MISC (6900)
1749,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,5284,SSA DATA MATCH FEES,3000.0,9,March,201901001003SDW,09 (March),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),SSA DATA MATCH FEES (5284)
1892,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,1600.0,3,September,201901001003SDE,03 (September),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
1946,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5212,FED-INMATE REIMBURSEMENT,-58166.68,4,October,201901001003SDH,04 (October),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),FED-INMATE REIMBURSEMENT (5212)
2032,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,400.0,10,April,201901001003SDB,10 (April),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
2041,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5284,SSA DATA MATCH FEES,800.0,6,December,201901001003HSD,06 (December),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),SSA DATA MATCH FEES (5284)
2050,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,6900,MISC,9138.96,8,February,201901001007SDB,08 (February),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),MISC (6900)
2057,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEES,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,0500,FEES,7071.5,11,May,201901001004SDF,11 (May),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FEES (0500)
2071,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,25989.47,13,Adjustment 1,201901001004SDH,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
2125,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,42.68,3,September,201901001007SDW,03 (September),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
2155,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,6900,MISC,455.36,4,October,201901001007HSD,04 (October),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),MISC (6900)
2167,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,3200.0,2,August,201901001003SDE,02 (August),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
2172,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,5212,FED-INMATE REIMBURSEMENT,1890274.59,12,June,201901001003SDP,12 (June),General Fund (0010),SHERIFF DEPARTMENT PLYMOUTH (SDP),FED-INMATE REIMBURSEMENT (5212)
2176,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,3500,REIMBURSEMENTS,105477.86,1,July,201901001004SDB,01 (July),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),REIMBURSEMENTS (3500)
2180,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,11173.43,2,August,201901001003SDF,02 (August),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
2220,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5212,FED-INMATE REIMBURSEMENT,72069.66,12,June,201901001003SDH,12 (June),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),FED-INMATE REIMBURSEMENT (5212)
2349,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,0500,FEES,-8272.0,5,November,201901001004HSD,05 (November),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FEES (0500)
2418,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,1138.2,7,January,201901001004HSD,07 (January),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
2440,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,6900,MISC,22.26,6,December,201901001007SDH,06 (December),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),MISC (6900)
2450,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,1546.3,3,September,201901001007SDF,03 (September),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
2524,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,1521.05,12,June,201901001004HSD,12 (June),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
2549,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,10679.98,11,May,201901001003SDF,11 (May),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
2564,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5212,FED-INMATE REIMBURSEMENT,123578.0,1,July,201901001003SDF,01 (July),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FED-INMATE REIMBURSEMENT (5212)
2589,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,1601.5,7,January,201901001007SDF,07 (January),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
2601,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5212,FED-INMATE REIMBURSEMENT,128947.0,11,May,201901001003SDF,11 (May),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FED-INMATE REIMBURSEMENT (5212)
2611,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,0500,FEES,116308.0,1,July,201901001004HSD,01 (July),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FEES (0500)
2651,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,600.0,7,January,201901001003SDE,07 (January),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
2654,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,6900,MISC,21262.7,12,June,201901001007SDC,12 (June),General Fund (0010),SHERIFF DEPARTMENT BARNSTABLE (SDC),MISC (6900)
2672,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3501,REIMB-BOARD OF INMATES,790.0,8,February,201901001004SDW,08 (February),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),REIMB-BOARD OF INMATES (3501)
2698,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,6900,MISC,1397.8,3,September,201901001007SDH,03 (September),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),MISC (6900)
2723,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5284,SSA DATA MATCH FEES,9600.0,10,April,201901001003SDH,10 (April),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SSA DATA MATCH FEES (5284)
2771,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,1057.94,12,June,201901001007SDF,12 (June),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
2784,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,RENTS,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,4000,RENTS,333.33,11,May,201901001004SDM,11 (May),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),RENTS (4000)
2795,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5212,FED-INMATE REIMBURSEMENT,27598.96,13,Adjustment 1,201901001003SDH,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),FED-INMATE REIMBURSEMENT (5212)
2822,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,6900,MISC,30.49,10,April,201901001007SDB,10 (April),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),MISC (6900)
2826,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5284,SSA DATA MATCH FEES,600.0,5,November,201901001003HSD,05 (November),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),SSA DATA MATCH FEES (5284)
2830,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,6900,MISC,754.36,3,September,201901001007HSD,03 (September),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),MISC (6900)
2838,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,6900,MISC,553533.12,3,September,201901001007BSD,03 (September),General Fund (0010),SHERIFF DEPARTMENT BRISTOL (BSD),MISC (6900)
2865,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5284,SSA DATA MATCH FEES,15000.0,13,Adjustment 1,201901001003SDH,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SSA DATA MATCH FEES (5284)
2917,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,5284,SSA DATA MATCH FEES,4400.0,3,September,201901001003SDW,03 (September),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),SSA DATA MATCH FEES (5284)
2922,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,172539.12,9,March,201901001004SDH,09 (March),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
2939,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,93762.89,2,August,201901001004SDH,02 (August),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
2984,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,5284,SSA DATA MATCH FEES,4800.0,2,August,201901001003SDW,02 (August),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),SSA DATA MATCH FEES (5284)
2989,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5212,FED-INMATE REIMBURSEMENT,131753.79,9,March,201901001003SDH,09 (March),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),FED-INMATE REIMBURSEMENT (5212)
3035,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,6900,MISC,3582.93,7,January,201901001007HSD,07 (January),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),MISC (6900)
3070,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,800.0,9,March,201901001003SDB,09 (March),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
3073,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,11187.2,6,December,201901001003SDF,06 (December),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
3088,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,2607.0,1,July,201901001004SDE,01 (July),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
3122,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,6900,MISC,204.28,7,January,201901001007SDB,07 (January),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),MISC (6900)
3164,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3501,REIMB-BOARD OF INMATES,1210.0,6,December,201901001004SDW,06 (December),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),REIMB-BOARD OF INMATES (3501)
3195,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,0500,FEES,29852.0,3,September,201901001004HSD,03 (September),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FEES (0500)
3203,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,RENTS,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,4000,RENTS,2048.28,8,February,201901001004HSD,08 (February),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),RENTS (4000)
3236,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,5212,FED-INMATE REIMBURSEMENT,1020791.38,5,November,201901001003SDP,05 (November),General Fund (0010),SHERIFF DEPARTMENT PLYMOUTH (SDP),FED-INMATE REIMBURSEMENT (5212)
3258,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5212,FED-INMATE REIMBURSEMENT,441.0,9,March,201901001003SDE,09 (March),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),FED-INMATE REIMBURSEMENT (5212)
